runner_mode,student_id,name,grade,grade_group,segment,expected_grade_group,expected_ability,expected_diligence,expected_segment,classification_ok,preferred_subject,strong_subject,recent_avg_score,avg_completion_rate,wrong_content_rate,wrong_content_total,wrong_content_done,skipping_habit,guessing_habit,careless_habit,wrong_cause,frequent_wrong_type,task_subject,task_unit,task_difficulty,ai_predicted_score,problem_id,touchpoint,use_case,turn,tp4_cause,scenario_label,has_wrong_answers,wrong_content_done_today,response_text,choices,message_types,error
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp1,talk,1,,TP1 홈화면 진입,True,False,"민준아, 안녕! 뽀롱~  
오늘은 국어 받침 공부를 아주 쉽게 해볼까?  
민준이가 좋아하는 이야기 속 낱말들로 준비했어!  

""받침이 있는 낱말 읽기""를 추천하는 이유:  
1️⃣ 민준이가 국어를 좋아하니까 더 재밌을 거야!  
2️⃣ 딱 3개만 먼저 읽어보자는 작은 목표로 시작해볼게  
3️⃣ 이야기 속 낱말이라 금방 익숙해질 거야  

예를 들어 ""공"", ""나무""처럼 쉬운 걸로 시작할까?  
민준이가 아는 낱말부터 하나씩 해보면 금방 자신감이 생길 거야!  

한 번 도전해보자! 쌤이 응원할게~ ✨",,text,
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp2,talk,1,,TP2 단위 학습 완료,True,False,"민준아, 안녕! 뽀롱~  
오늘 국어 공부 시작하려고 했구나!  
받침 있는 낱말 읽기, 먼저 쉬운 걸로 해볼까?  

(빨간 책을 흔들며) 여기 ""공"", ""책"", ""나무"" 중에  
민준이가 읽고 싶은 단어 하나만 골라보자!  
쌤이 옆에서 응원할게~ 💛  

*민준이가 골라준 단어를 함께 읽으며*  
""잘했어! 민준아~ 이렇게 하나씩 해보자!""  
뽀롱~",,text,
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp3,talk,1,,TP3 이탈 방지,True,False,"민준아, 조금 지쳤나? 쌤은 쉬었다가 할 때 더 잘 되더라~  
""1. 5분만 눈 감고 있을래? 2. 책 한 장만 같이 펼쳐볼까? 3. 물 마시러 갈까?""  
원하는 걸 골라보자! 뽀롱~",,text,
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp4,learning,1,,TP4 막힘 (원인 선택지),True,False,,받침이 뭔지 잘 모르겠어요 | 글자 끝이 헷갈려요 | 읽기 싫고 재미없어요 | 자세히 보는 게 힘들어요,choices,
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp4,learning,2,unfamiliar_with_consonant_endings,TP4 막힘 (원인 선택 후 코칭),True,False,"민준아, 안녕! 뽀롱~ 오늘 받침 찾기 놀이 해볼까? 🌱",,text|hint_card,
graph,lower-low-lazy,민준,1,lower,못함+불성실,lower,low,lazy,못함+불성실,True,국어,통합,64,35,20,4,0,True,True,False,찍기,낱말 읽기,국어,받침이 있는 낱말 읽기,하,62,lower_korean_reading_001,tp5,talk,1,,TP5 학습 종료,True,False,"민준아, 안녕! 뽀롱~  
오늘은 조금 힘들었구나? 쌤도 알겠어.  

(빨간 책을 펼치며) 여기 4개 문제가 좀 더 친해지길 기다리고 있어.  
""딱 1개만 같이 풀어볼까?""라고 말해도 될까? 아니면...  
""오늘 쉬는 게 좋겠어?""라고 말해도 돼.  

민준이가 원하는 걸 골라보자! ✨  
(1) ""1개 풀어보자!""  
(2) ""오늘은 쉬자""  

어떤 게 좋을까? 🌟",,text,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp1,talk,1,,TP1 홈화면 진입,True,False,"지아아, 안녕! 뽀롱~  
오늘 국어 시간에 **받침이 있는 낱말 읽기**를 함께 해볼까?  
(책의 빨간 부분을 펼치며) 지아가 좋아하는 이야기 속 단어들로 준비했어!  

""공, 구"" → ""공**부**"", ""나, 무"" → ""나**무**""처럼  
받침이 친구할 때 어떻게 소리가 변하는지 **한 글자씩** 천천히 읽어볼게!  

(책 속 '강아지' 그림을 가리키며)  
""강**아**지""에서 'ㅇ' 받침이 '지'랑 만나면 '아지'가 되네?  
한 번 지아가 큰 소리로 따라 읽어보자!  

(손뼉 치며) ""잘할 수 있어! 쌤이 옆에 있을게~""  

*다음 단계*  
1. 지아가 직접 ""책, 문, 공"" 등 쉬운 단어 3개 읽기  
2. ""책**상**""처럼 두 글자 단어 도전!  
3. 지아가 받침이 있는 단어를 **말로 설명**해보는 게 마지막 목표야!  

(책 속 '뽀로롱' 스티커 붙이며)  
""지아가 한 글자씩 똑똑히 읽는 모습, 쌤이 다 봤어! 오늘 또 한 걸음~""",,text,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp2,talk,1,,TP2 단위 학습 완료,True,False,"지아아, 안녕! 뽀롱~  
와! 이미 국어 공부를 시작했구나? ✨  
받침이 있는 낱말 읽기, 잘 해내고 있는 거 같아!  

(학생 표정 확인)  
""민트"" ""손"" ""공"" 같은 단어에서 받침이 어떻게 소리 나는지 느껴봤어?  
한 번 더 소리 내어 읽어볼까? 천천히 해도 돼.  

(학생이 힘들어하면)  
""공"" → ""공(콩)""처럼 살짝 '으'를 넣어 읽는 비법이 있대!  
한 번 따라 해볼까?  

(성공 시) 뽀로롱?! 이렇게 잘하다니!  
지아가 직접 쌤에게 이 비결을 설명해줄 수 있을까?  

(격려)  
""다음엔 '책' '밤' 같은 2글자 도전해볼까요?  
지아가 좋아하는 동물 이름 중에 받침 있는 단어 찾아도 재밌을 것 같아! 🐰""  

(책 들고) ""여기 '강아지' '고양이' 중에 받침이 있는 건 누굴까?""  
같이 찾아볼까?",,text,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp3,talk,1,,TP3 이탈 방지,True,False,"지아아, 지금 좀 지겨웠지? 쌤도 책 읽다 보면 졸릴 때가 있거든.  
""5분만 쉬었다 올까? 아니면 '나무'만 한 번 같이 읽어볼까?""  
어떤 걸 택하고 싶어? (☉ﾟヮﾟ)☉  

(1) ""물 마시러 갈게요""  
(2) ""나무...? 나-무?""  
(3) ""한 장만 더 해봐요""  

지아가 편한 걸 선택해도 돼! :)",,text,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp4,learning,1,,TP4 막힘 (원인 선택지),True,False,,받침이 있는 글자와 없는 글자를 구분하는 게 헷갈려요 | 단어 끝 소리가 비슷한지 잘 모르겠어요 | 익숙한 단어라서 글자보다 뜻만 생각나요 | 글자와 소리 연결이 잘 안 느껴져요,choices,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp4,learning,2,unclear_receom_identification,TP4 막힘 (원인 선택 후 코칭),True,False,지아야! '책' 아래 'ㄱ' 받침을 찾았어? 다른 낱말은 맨 아래가 깨끗하네. 한 번 더 확인해볼까? (^_^)/~,,hint_card|text,
graph,lower-low-diligent,지아,2,lower,못함+성실,lower,low,diligent,못함+성실,True,국어,국어,72,86,75,4,3,False,False,False,개념 부족,문장 뜻 파악,국어,받침이 있는 낱말 읽기,하,72,lower_korean_reading_001,tp5,talk,1,,TP5 학습 종료,True,False,"지아아, 오늘 정말 열심히 했구나! 뽀롱~  
(작은 책 표지로 눈을 돌리며) 아까 이 문제 하나 더 남았더라. 같이 한 번 더 봐볼까?  

""음~ 가만 있어보자. 이 문제를 처음 봤을 때 어떤 생각이 들었어?""  
(친구를 토닥이는 손짓) ""막힌 부분이 있다면 쌤이 작은 열쇠 하나 줄 수 있어! 함께 열어보자~""  

(학생 반응 후)  
""오! 그 부분이었다니, 이제 알 것 같아! 지아가 직접 설명해볼 수 있겠어?  
(책을 들어 올리는 제스처) ""여기 이 부분을 다시 보면, (예: '사과 3개' 그림) 지아 생각대로 ~한 것 맞을까?""  

(학생 대답 시)  
""뽀로롱?!"" (눈 동글) ""바로 그거야! 지아가 스스로 길을 찾았어. 이렇게 해내다니 정말 대단해~""  

(학습 마무리)  
""오늘 4개 중 3개 맞힌 거부터 이미 큰 성공이야! 남은 하나는 내일 아침 한 입만 더 먹어보자.  
(학사모 만지며) ""오늘은 이만큼도 정말 잘했어, 지아야! 뽀롱~""  

※ 실제 응답 시에는 학생의 구체적 오답 유형을 반영해 단서 제시  
(예: 덧셈 오류 → '사과 그림'으로 시각화 유도)",,text,
